"Date Reporter","Product","Reporter_MappedCode","Partner","CropYear","Month","MonthYear","Year","Quantity","Forecast","Product_Name","Reporter_MappedName","Partner_Name","Group_Reporter","Group_Partner"
"2016-01-01","SPC","ESP","ITA","2016/17","01","2016-01",2016,0.030431000000,false,"Soybean protein concentrate","Spain","Italy","other","Europe"
"2016-01-01","SPC","ESP","LTU","2016/17","01","2016-01",2016,0.004432000000,false,"Soybean protein concentrate","Spain","Lithuania","other","Europe"
"2016-01-01","SPC","ESP","LUX","2016/17","01","2016-01",2016,0.000117000000,false,"Soybean protein concentrate","Spain","Luxembourg","other","Europe"
"2016-01-01","SPC","ESP","MAR","2016/17","01","2016-01",2016,0.000448000000,false,"Soybean protein concentrate","Spain","Morocco","other","other"
"2016-01-01","SPC","ESP","MLT","2016/17","01","2016-01",2016,0.000943000000,false,"Soybean protein concentrate","Spain","Malta","other","Europe"
"2016-01-01","SPC","ESP","NLD","2016/17","01","2016-01",2016,0.000640000000,false,"Soybean protein concentrate","Spain","Netherlands","other","Europe"
"2016-01-01","SPC","ESP","NOR","2016/17","01","2016-01",2016,0.000816000000,false,"Soybean protein concentrate","Spain","Norway","other","other"
"2016-01-01","SPC","ESP","PER","2016/17","01","2016-01",2016,0.000229000000,false,"Soybean protein concentrate","Spain","Peru","other","other"
"2016-01-01","SPC","ESP","POL","2016/17","01","2016-01",2016,0.008217000000,false,"Soybean protein concentrate","Spain","Poland","other","Europe"
"2016-01-01","SPC","ESP","PRT","2016/17","01","2016-01",2016,0.081730000000,false,"Soybean protein concentrate","Spain","Portugal","other","Europe"
"2016-01-01","SPC","ESP","ROU","2016/17","01","2016-01",2016,0.000136000000,false,"Soybean protein concentrate","Spain","Romania","other","Europe"
"2016-01-01","SPC","ESP","ROW","2016/17","01","2016-01",2016,0.054596000000,false,"Soybean protein concentrate","Spain","Rest of the World","other","Other"
"2016-01-01","SPC","ESP","SAU","2016/17","01","2016-01",2016,0.000080000000,false,"Soybean protein concentrate","Spain","Saudi Arabia","other","other"
"2016-01-01","SPC","ESP","SEN","2016/17","01","2016-01",2016,0.000140000000,false,"Soybean protein concentrate","Spain","Senegal","other","other"
"2016-01-01","SPC","ESP","SVN","2016/17","01","2016-01",2016,0.002508000000,false,"Soybean protein concentrate","Spain","Slovenia","other","Europe"
"2016-01-01","SPC","ESP","UAE","2016/17","01","2016-01",2016,0.009609000000,false,"Soybean protein concentrate","Spain","United Arab Emirates","other","other"
"2016-01-01","SPC","ESP","USA","2016/17","01","2016-01",2016,0.000081000000,false,"Soybean protein concentrate","Spain","United States","other","other"
"2016-01-01","SRG","ESP","PRT","2016/17","01","2016-01",2016,0.281339000000,false,"All Sorghum","Spain","Portugal","other","Europe"
"2016-01-01","SWHT","ESP","FRA","2016/17","01","2016-01",2016,0.061575000000,false,"Soft wheat","Spain","France","other","Europe"
"2016-01-01","SWHT","ESP","PRT","2016/17","01","2016-01",2016,11.913310000000,false,"Soft wheat","Spain","Portugal","other","Europe"
"2016-01-01","SWHT","ESP","ROW","2016/17","01","2016-01",2016,0.004925000000,false,"Soft wheat","Spain","Rest of the World","other","Other"
"2016-01-01","UCO","ESP","AUT","2016/17","01","2016-01",2016,0.000400000000,false,"Used Cooking Oil","Spain","Austria","other","Europe"
"2016-01-01","UCO","ESP","BEL","2016/17","01","2016-01",2016,0.028600000000,false,"Used Cooking Oil","Spain","Belgium","other","Europe"
"2016-01-01","UCO","ESP","CHE","2016/17","01","2016-01",2016,0.024000000000,false,"Used Cooking Oil","Spain","Switzerland","other","other"
"2016-01-01","UCO","ESP","CHN","2016/17","01","2016-01",2016,0.004200000000,false,"Used Cooking Oil","Spain","China","other","other"
"2016-01-01","UCO","ESP","CZE","2016/17","01","2016-01",2016,0.000125000000,false,"Used Cooking Oil","Spain","Czech Republic","other","Europe"
"2016-01-01","UCO","ESP","DEU","2016/17","01","2016-01",2016,0.312308000000,false,"Used Cooking Oil","Spain","Germany","other","Europe"
"2016-01-01","UCO","ESP","DZA","2016/17","01","2016-01",2016,0.177150000000,false,"Used Cooking Oil","Spain","Algeria","other","other"
"2016-01-01","UCO","ESP","ESP","2016/17","01","2016-01",2016,0.095404000000,false,"Used Cooking Oil","Spain","Spain","other","Europe"
"2016-01-01","UCO","ESP","FRA","2016/17","01","2016-01",2016,0.494173000000,false,"Used Cooking Oil","Spain","France","other","Europe"
"2016-01-01","UCO","ESP","GBR","2016/17","01","2016-01",2016,0.011896000000,false,"Used Cooking Oil","Spain","United Kingdom","other","Europe"
"2016-01-01","UCO","ESP","GRC","2016/17","01","2016-01",2016,0.001410000000,false,"Used Cooking Oil","Spain","Greece","other","Europe"
"2016-01-01","UCO","ESP","HUN","2016/17","01","2016-01",2016,0.026300000000,false,"Used Cooking Oil","Spain","Hungary","other","Europe"
"2016-01-01","UCO","ESP","IND","2016/17","01","2016-01",2016,0.000600000000,false,"Used Cooking Oil","Spain","India","other","other"
"2016-01-01","UCO","ESP","IRL","2016/17","01","2016-01",2016,0.158610000000,false,"Used Cooking Oil","Spain","Ireland","other","Europe"
"2016-01-01","UCO","ESP","ITA","2016/17","01","2016-01",2016,0.306870000000,false,"Used Cooking Oil","Spain","Italy","other","Europe"
