Date Reporter,Product,Reporter_MappedCode,Partner,CropYear,Month,MonthYear,Year,Quantity,Forecast,Product_Name,Reporter_MappedName,Partner_Name,Group_Reporter,Group_Partner
1/1/2016,SFO,ESP,NZL,2016/17,1,2016-01,2016,0.21826,FALSE,Sunflower Seed Oil,Spain,New Zealand,other,other
1/1/2016,SFO,ESP,PER,2016/17,1,2016-01,2016,0.0001,FALSE,Sunflower Seed Oil,Spain,Peru,other,other
1/1/2016,SFO,ESP,POL,2016/17,1,2016-01,2016,0.002336,FALSE,Sunflower Seed Oil,Spain,Poland,other,Europe
1/1/2016,SFO,ESP,PRT,2016/17,1,2016-01,2016,2.222782,FALSE,Sunflower Seed Oil,Spain,Portugal,other,Europe
1/1/2016,SFO,ESP,ROW,2016/17,1,2016-01,2016,1.462974,FALSE,Sunflower Seed Oil,Spain,Rest of the World,other,Other
1/1/2016,SFO,ESP,SAU,2016/17,1,2016-01,2016,0.0648,FALSE,Sunflower Seed Oil,Spain,Saudi Arabia,other,other
1/1/2016,SFO,ESP,SGP,2016/17,1,2016-01,2016,0.00996,FALSE,Sunflower Seed Oil,Spain,Singapore,other,other
1/1/2016,SFO,ESP,SWE,2016/17,1,2016-01,2016,0.010232,FALSE,Sunflower Seed Oil,Spain,Sweden,other,Europe
1/1/2016,SFO,ESP,UAE,2016/17,1,2016-01,2016,0.000015,FALSE,Sunflower Seed Oil,Spain,United Arab Emirates,other,other
1/1/2016,SFO,ESP,USA,2016/17,1,2016-01,2016,0.49309,FALSE,Sunflower Seed Oil,Spain,United States,other,other
1/1/2016,SFO,ESP,VEN,2016/17,1,2016-01,2016,0.00002,FALSE,Sunflower Seed Oil,Spain,Venezuela,other,other
1/1/2016,SFO,ESP,ZAF,2016/17,1,2016-01,2016,1.54377,FALSE,Sunflower Seed Oil,Spain,South Africa,other,other
1/1/2016,SFS,ESP,BEL,2016/17,1,2016-01,2016,0.000048,FALSE,Sunflower Seed,Spain,Belgium,other,Europe
1/1/2016,SFS,ESP,BGR,2016/17,1,2016-01,2016,0.075501,FALSE,Sunflower Seed,Spain,Bulgaria,other,Europe
1/1/2016,SFS,ESP,DEU,2016/17,1,2016-01,2016,0.049283,FALSE,Sunflower Seed,Spain,Germany,other,Europe
1/1/2016,SFS,ESP,DNK,2016/17,1,2016-01,2016,0.007056,FALSE,Sunflower Seed,Spain,Denmark,other,Europe
1/1/2016,SFS,ESP,ESP,2016/17,1,2016-01,2016,0.013486,FALSE,Sunflower Seed,Spain,Spain,other,Europe
1/1/2016,SFS,ESP,FRA,2016/17,1,2016-01,2016,1.103848,FALSE,Sunflower Seed,Spain,France,other,Europe
1/1/2016,SFS,ESP,GBR,2016/17,1,2016-01,2016,0.000538,FALSE,Sunflower Seed,Spain,United Kingdom,other,Europe
1/1/2016,SFS,ESP,GRC,2016/17,1,2016-01,2016,0.006941,FALSE,Sunflower Seed,Spain,Greece,other,Europe
1/1/2016,SFS,ESP,HUN,2016/17,1,2016-01,2016,0.052904,FALSE,Sunflower Seed,Spain,Hungary,other,Europe
1/1/2016,SFS,ESP,ITA,2016/17,1,2016-01,2016,0.050599,FALSE,Sunflower Seed,Spain,Italy,other,Europe
1/1/2016,SFS,ESP,MAR,2016/17,1,2016-01,2016,0.003824,FALSE,Sunflower Seed,Spain,Morocco,other,other
1/1/2016,SFS,ESP,NLD,2016/17,1,2016-01,2016,0.001967,FALSE,Sunflower Seed,Spain,Netherlands,other,Europe
1/1/2016,SFS,ESP,POL,2016/17,1,2016-01,2016,0.000285,FALSE,Sunflower Seed,Spain,Poland,other,Europe
1/1/2016,SFS,ESP,PRT,2016/17,1,2016-01,2016,0.16771,FALSE,Sunflower Seed,Spain,Portugal,other,Europe
1/1/2016,SFS,ESP,ROU,2016/17,1,2016-01,2016,0.134437,FALSE,Sunflower Seed,Spain,Romania,other,Europe
1/1/2016,SFS,ESP,ROW,2016/17,1,2016-01,2016,0.572184,FALSE,Sunflower Seed,Spain,Rest of the World,other,Other
1/1/2016,SFS,ESP,RUS,2016/17,1,2016-01,2016,0.154766,FALSE,Sunflower Seed,Spain,Russian Federation,other,other
1/1/2016,SFS,ESP,SWE,2016/17,1,2016-01,2016,0.006363,FALSE,Sunflower Seed,Spain,Sweden,other,Europe
1/1/2016,SFS,ESP,TUR,2016/17,1,2016-01,2016,0.030284,FALSE,Sunflower Seed,Spain,Turkey,other,other
1/1/2016,SPC,ESP,AUT,2016/17,1,2016-01,2016,0.001921,FALSE,Soybean protein concentrate,Spain,Austria,other,Europe
1/1/2016,SPC,ESP,BEL,2016/17,1,2016-01,2016,0.00446,FALSE,Soybean protein concentrate,Spain,Belgium,other,Europe
1/1/2016,SPC,ESP,BGR,2016/17,1,2016-01,2016,0.00144,FALSE,Soybean protein concentrate,Spain,Bulgaria,other,Europe
1/1/2016,SPC,ESP,CHE,2016/17,1,2016-01,2016,0.001473,FALSE,Soybean protein concentrate,Spain,Switzerland,other,other
1/1/2016,SPC,ESP,CHN,2016/17,1,2016-01,2016,0.000068,FALSE,Soybean protein concentrate,Spain,China,other,other
1/1/2016,SPC,ESP,CYP,2016/17,1,2016-01,2016,0.000757,FALSE,Soybean protein concentrate,Spain,Cyprus,other,Europe
1/1/2016,SPC,ESP,CZE,2016/17,1,2016-01,2016,0.00079,FALSE,Soybean protein concentrate,Spain,Czech Republic,other,Europe
1/1/2016,SPC,ESP,DEU,2016/17,1,2016-01,2016,0.03392,FALSE,Soybean protein concentrate,Spain,Germany,other,Europe
1/1/2016,SPC,ESP,DNK,2016/17,1,2016-01,2016,0.000284,FALSE,Soybean protein concentrate,Spain,Denmark,other,Europe
1/1/2016,SPC,ESP,ESP,2016/17,1,2016-01,2016,0.026642,FALSE,Soybean protein concentrate,Spain,Spain,other,Europe
1/1/2016,SPC,ESP,FRA,2016/17,1,2016-01,2016,0.052121,FALSE,Soybean protein concentrate,Spain,France,other,Europe
1/1/2016,SPC,ESP,GBR,2016/17,1,2016-01,2016,0.00043,FALSE,Soybean protein concentrate,Spain,United Kingdom,other,Europe
1/1/2016,SPC,ESP,GRC,2016/17,1,2016-01,2016,0.001709,FALSE,Soybean protein concentrate,Spain,Greece,other,Europe
1/1/2016,SPC,ESP,IND,2016/17,1,2016-01,2016,0.0001,FALSE,Soybean protein concentrate,Spain,India,other,other
1/1/2016,SPC,ESP,IRL,2016/17,1,2016-01,2016,0.00234,FALSE,Soybean protein concentrate,Spain,Ireland,other,Europe
1/1/2016,SPC,ESP,IRN,2016/17,1,2016-01,2016,0.000014,FALSE,Soybean protein concentrate,Spain,Iran,other,other
1/1/2016,SPC,ESP,ISR,2016/17,1,2016-01,2016,0.000024,FALSE,Soybean protein concentrate,Spain,Israel,other,other
1/1/2016,SPC,ESP,ITA,2016/17,1,2016-01,2016,0.030431,FALSE,Soybean protein concentrate,Spain,Italy,other,Europe
1/1/2016,SPC,ESP,LTU,2016/17,1,2016-01,2016,0.004432,FALSE,Soybean protein concentrate,Spain,Lithuania,other,Europe
1/1/2016,SPC,ESP,LUX,2016/17,1,2016-01,2016,0.000117,FALSE,Soybean protein concentrate,Spain,Luxembourg,other,Europe
1/1/2016,SPC,ESP,MAR,2016/17,1,2016-01,2016,0.000448,FALSE,Soybean protein concentrate,Spain,Morocco,other,other
1/1/2016,SPC,ESP,MLT,2016/17,1,2016-01,2016,0.000943,FALSE,Soybean protein concentrate,Spain,Malta,other,Europe
1/1/2016,SPC,ESP,NLD,2016/17,1,2016-01,2016,0.00064,FALSE,Soybean protein concentrate,Spain,Netherlands,other,Europe
1/1/2016,SPC,ESP,NOR,2016/17,1,2016-01,2016,0.000816,FALSE,Soybean protein concentrate,Spain,Norway,other,other
1/1/2016,SPC,ESP,PER,2016/17,1,2016-01,2016,0.000229,FALSE,Soybean protein concentrate,Spain,Peru,other,other
1/1/2016,SPC,ESP,POL,2016/17,1,2016-01,2016,0.008217,FALSE,Soybean protein concentrate,Spain,Poland,other,Europe
1/1/2016,SPC,ESP,PRT,2016/17,1,2016-01,2016,0.08173,FALSE,Soybean protein concentrate,Spain,Portugal,other,Europe
1/1/2016,SPC,ESP,ROU,2016/17,1,2016-01,2016,0.000136,FALSE,Soybean protein concentrate,Spain,Romania,other,Europe
1/1/2016,SPC,ESP,ROW,2016/17,1,2016-01,2016,0.054596,FALSE,Soybean protein concentrate,Spain,Rest of the World,other,Other
1/1/2016,SPC,ESP,SAU,2016/17,1,2016-01,2016,0.00008,FALSE,Soybean protein concentrate,Spain,Saudi Arabia,other,other
1/1/2016,SPC,ESP,SEN,2016/17,1,2016-01,2016,0.00014,FALSE,Soybean protein concentrate,Spain,Senegal,other,other
1/1/2016,SPC,ESP,SVN,2016/17,1,2016-01,2016,0.002508,FALSE,Soybean protein concentrate,Spain,Slovenia,other,Europe
1/1/2016,SPC,ESP,UAE,2016/17,1,2016-01,2016,0.009609,FALSE,Soybean protein concentrate,Spain,United Arab Emirates,other,other
1/1/2016,SPC,ESP,USA,2016/17,1,2016-01,2016,0.000081,FALSE,Soybean protein concentrate,Spain,United States,other,other
1/1/2016,SRG,ESP,PRT,2016/17,1,2016-01,2016,0.281339,FALSE,All Sorghum,Spain,Portugal,other,Europe
