Product,Location,Item,Cut-off Date,Value,Value Period,Value Period multiplier,Value Period Aggregation Type,Crop Year,Value Unit,Value Unit multiplier
Corn,CENTRAL NORTH CORDOBA,area_planted,2023-02-01,1120,YEAR,1,SUM,2022/2023,Hectare,1000
Corn,SOUTH CORDOBA,area_planted,2023-02-01,1050,YEAR,1,SUM,2022/2023,Hectare,1000
Corn,CENTRAL NORTH SANTA FE,area_planted,2023-02-01,285,YEAR,1,SUM,2022/2023,Hectare,1000
Corn,NORTH BELT,area_planted,2023-02-01,695,YEAR,1,SUM,2022/2023,Hectare,1000
Corn,SOUTH BELT,area_planted,2023-02-01,555,YEAR,1,SUM,2022/2023,Hectare,1000
Corn,CENTRAL ENTRE RIOS,area_planted,2023-02-01,310,YEAR,1,SUM,2022/2023,Hectare,1000
Corn,CENTRAL BUENOS AIRES,area_planted,2023-02-01,360,YEAR,1,SUM,2022/2023,Hectare,1000
Corn,SOUTH WEST BUENOS AIRES SOUTH LA PAMPA,area_planted,2023-02-01,200,YEAR,1,SUM,2022/2023,Hectare,1000
Corn,SOUTH EAST BUENOS AIRES,area_planted,2023-02-01,300,YEAR,1,SUM,2022/2023,Hectare,1000
Corn,Cuenca del Salado,area_planted,2023-02-01,100,YEAR,1,SUM,2022/2023,Hectare,1000
Corn,Argentina_Others,area_planted,2023-02-01,40,YEAR,1,SUM,2022/2023,Hectare,1000
Corn,Argentina,area_planted,2023-02-01,7600,YEAR,1,SUM,2022/2023,Hectare,1000
Soybean,SALTA TUCUMAN,area_planted,2023-01-01,1100,YEAR,1,SUM,2022/2023,Hectare,1000
Soybean,CHACO SANTIAGO,area_planted,2023-01-01,1625,YEAR,1,SUM,2022/2023,Hectare,1000
Corn,CHACO SANTIAGO,area_planted,2023-02-01,820,YEAR,1,SUM,2022/2023,Hectare,1000
Corn,SALTA TUCUMAN,area_planted,2023-02-01,475,YEAR,1,SUM,2022/2023,Hectare,1000
Soft wheat,Argentina,area_planted,2022-11-01,6000,YEAR,1,SUM,2022/2023,Hectare,1000
Soft wheat,SOUTH BELT,area_planted,2022-11-01,750,YEAR,1,SUM,2022/2023,Hectare,1000
Soft wheat,SALTA TUCUMAN,area_planted,2022-11-01,185,YEAR,1,SUM,2022/2023,Hectare,1000
Soft wheat,CHACO SANTIAGO,area_planted,2022-11-01,375,YEAR,1,SUM,2022/2023,Hectare,1000
Soft wheat,CENTRAL NORTH CORDOBA,area_planted,2022-11-01,335,YEAR,1,SUM,2022/2023,Hectare,1000
Soft wheat,SOUTH CORDOBA,area_planted,2022-11-01,270,YEAR,1,SUM,2022/2023,Hectare,1000
Soft wheat,CENTRAL NORTH SANTA FE,area_planted,2022-11-01,385,YEAR,1,SUM,2022/2023,Hectare,1000
Soft wheat,NORTH BELT,area_planted,2022-11-01,740,YEAR,1,SUM,2022/2023,Hectare,1000
Soft wheat,CENTRAL ENTRE RIOS,area_planted,2022-11-01,420,YEAR,1,SUM,2022/2023,Hectare,1000
Soft wheat,Argentina_Others,area_planted,2022-11-01,23,YEAR,1,SUM,2022/2023,Hectare,1000
Soft wheat,WEST BUENOS AIRES NORTH LA PAMPA,area_planted,2022-11-01,597,YEAR,1,SUM,2022/2023,Hectare,1000
Soft wheat,CENTRAL BUENOS AIRES,area_planted,2022-11-01,395,YEAR,1,SUM,2022/2023,Hectare,1000
Soft wheat,SOUTH WEST BUENOS AIRES SOUTH LA PAMPA,area_planted,2022-11-01,680,YEAR,1,SUM,2022/2023,Hectare,1000
Soft wheat,SOUTH EAST BUENOS AIRES,area_planted,2022-11-01,785,YEAR,1,SUM,2022/2023,Hectare,1000
Soft wheat,SAN LUIS ARG,area_planted,2022-11-01,12,YEAR,1,SUM,2022/2023,Hectare,1000
Soft wheat,Cuenca del Salado,area_planted,2022-11-01,48,YEAR,1,SUM,2022/2023,Hectare,1000
Soybean,CENTRAL NORTH CORDOBA,area_planted,2023-01-01,1670,YEAR,1,SUM,2022/2023,Hectare,1000
Corn,WEST BUENOS AIRES NORTH LA PAMPA,area_planted,2023-02-01,950,YEAR,1,SUM,2022/2023,Hectare,1000
Soybean,CENTRAL NORTH SANTA FE,area_planted,2023-01-01,965.7,YEAR,1,SUM,2022/2023,Hectare,1000
Soybean,NORTH BELT,area_planted,2023-01-01,2096,YEAR,1,SUM,2022/2023,Hectare,1000
Soybean,SAN LUIS ARG,area_planted,2023-01-01,222,YEAR,1,SUM,2022/2023,Hectare,1000
Soybean,SOUTH BELT,area_planted,2023-01-01,2220,YEAR,1,SUM,2022/2023,Hectare,1000
Soybean,CENTRAL ENTRE RIOS,area_planted,2023-01-01,1061.3,YEAR,1,SUM,2022/2023,Hectare,1000
Soybean,CENTRAL BUENOS AIRES,area_planted,2023-01-01,707,YEAR,1,SUM,2022/2023,Hectare,1000
Soybean,SOUTH WEST BUENOS AIRES SOUTH LA PAMPA,area_planted,2023-01-01,400,YEAR,1,SUM,2022/2023,Hectare,1000
Soybean,SOUTH EAST BUENOS AIRES,area_planted,2023-01-01,500,YEAR,1,SUM,2022/2023,Hectare,1000
Soybean,WEST BUENOS AIRES NORTH LA PAMPA,area_planted,2023-01-01,1870,YEAR,1,SUM,2022/2023,Hectare,1000
Soybean,Cuenca del Salado,area_planted,2023-01-01,170,YEAR,1,SUM,2022/2023,Hectare,1000
Soybean,Argentina,area_planted,2023-01-01,16200,YEAR,1,SUM,2022/2023,Hectare,1000
Soybean,Argentina_Others,area_planted,2023-01-01,78,YEAR,1,SUM,2022/2023,Hectare,1000
Corn,SAN LUIS ARG,area_planted,2022-02-01,365,YEAR,1,SUM,2021/2022,Hectare,1000
Soft wheat,Cuenca del Salado,area_planted,2021-11-01,50,YEAR,1,SUM,2021/2022,Hectare,1000
Corn,Argentina_Others,area_planted,2022-02-01,40,YEAR,1,SUM,2021/2022,Hectare,1000
Corn,Cuenca del Salado,area_planted,2022-02-01,145,YEAR,1,SUM,2021/2022,Hectare,1000
Corn,SOUTH EAST BUENOS AIRES,area_planted,2022-02-01,300,YEAR,1,SUM,2021/2022,Hectare,1000
Corn,SOUTH WEST BUENOS AIRES SOUTH LA PAMPA,area_planted,2022-02-01,200,YEAR,1,SUM,2021/2022,Hectare,1000
Corn,CENTRAL BUENOS AIRES,area_planted,2022-02-01,400,YEAR,1,SUM,2021/2022,Hectare,1000
Corn,CENTRAL ENTRE RIOS,area_planted,2022-02-01,380,YEAR,1,SUM,2021/2022,Hectare,1000
Corn,SOUTH BELT,area_planted,2022-02-01,600,YEAR,1,SUM,2021/2022,Hectare,1000
Corn,NORTH BELT,area_planted,2022-02-01,750,YEAR,1,SUM,2021/2022,Hectare,1000
Corn,CENTRAL NORTH SANTA FE,area_planted,2022-02-01,300,YEAR,1,SUM,2021/2022,Hectare,1000
Corn,SOUTH CORDOBA,area_planted,2022-02-01,960,YEAR,1,SUM,2021/2022,Hectare,1000
Corn,CENTRAL NORTH CORDOBA,area_planted,2022-02-01,1120,YEAR,1,SUM,2021/2022,Hectare,1000
Corn,CHACO SANTIAGO,area_planted,2022-02-01,820,YEAR,1,SUM,2021/2022,Hectare,1000
Corn,SALTA TUCUMAN,area_planted,2022-02-01,475,YEAR,1,SUM,2021/2022,Hectare,1000
Soft wheat,Argentina,area_planted,2021-11-01,6700,YEAR,1,SUM,2021/2022,Hectare,1000
Corn,Argentina,area_planted,2022-02-01,7700,YEAR,1,SUM,2021/2022,Hectare,1000
Soybean,SALTA TUCUMAN,area_planted,2022-01-01,1130,YEAR,1,SUM,2021/2022,Hectare,1000
Soybean,CHACO SANTIAGO,area_planted,2022-01-01,1587.72,YEAR,1,SUM,2021/2022,Hectare,1000
Soybean,SOUTH WEST BUENOS AIRES SOUTH LA PAMPA,area_planted,2022-01-01,365,YEAR,1,SUM,2021/2022,Hectare,1000
Soybean,Argentina,area_planted,2022-01-01,16300,YEAR,1,SUM,2021/2022,Hectare,1000
Soybean,Argentina_Others,area_planted,2022-01-01,78,YEAR,1,SUM,2021/2022,Hectare,1000
Soybean,Cuenca del Salado,area_planted,2022-01-01,162.17,YEAR,1,SUM,2021/2022,Hectare,1000
Soybean,SAN LUIS ARG,area_planted,2022-01-01,232,YEAR,1,SUM,2021/2022,Hectare,1000
Soybean,SOUTH EAST BUENOS AIRES,area_planted,2022-01-01,510,YEAR,1,SUM,2021/2022,Hectare,1000
Soybean,CENTRAL BUENOS AIRES,area_planted,2022-01-01,690,YEAR,1,SUM,2021/2022,Hectare,1000
Soybean,CENTRAL NORTH CORDOBA,area_planted,2022-01-01,1694.59,YEAR,1,SUM,2021/2022,Hectare,1000
Soybean,WEST BUENOS AIRES NORTH LA PAMPA,area_planted,2022-01-01,1850,YEAR,1,SUM,2021/2022,Hectare,1000
Soybean,CENTRAL ENTRE RIOS,area_planted,2022-01-01,1017,YEAR,1,SUM,2021/2022,Hectare,1000
Soybean,SOUTH BELT,area_planted,2022-01-01,2205,YEAR,1,SUM,2021/2022,Hectare,1000
Soybean,NORTH BELT,area_planted,2022-01-01,2083,YEAR,1,SUM,2021/2022,Hectare,1000
Soybean,CENTRAL NORTH SANTA FE,area_planted,2022-01-01,1034.89,YEAR,1,SUM,2021/2022,Hectare,1000
Soybean,SOUTH CORDOBA,area_planted,2022-01-01,1660.63,YEAR,1,SUM,2021/2022,Hectare,1000
Soft wheat,Argentina_Others,area_planted,2021-11-01,23,YEAR,1,SUM,2021/2022,Hectare,1000
Corn,WEST BUENOS AIRES NORTH LA PAMPA,area_planted,2022-02-01,845,YEAR,1,SUM,2021/2022,Hectare,1000
Soft wheat,SAN LUIS ARG,area_planted,2021-11-01,12,YEAR,1,SUM,2021/2022,Hectare,1000
Soft wheat,SOUTH EAST BUENOS AIRES,area_planted,2021-11-01,860,YEAR,1,SUM,2021/2022,Hectare,1000
Soft wheat,CENTRAL NORTH SANTA FE,area_planted,2021-11-01,485,YEAR,1,SUM,2021/2022,Hectare,1000
